,tweet,processed,topic
1846,j inscrirai dans la constitution la lutte contre les discriminations en raison du handicap unjourunlivret,inscrirai constitution lutte contre discrimination raison handicap unjourunlivret,
1847,je salue le courage du peuple ukrainien qui resiste sous le feu des armes au nom des francais j adresse au president zelensky le soutien fraternel de la france il est aujourd hui le visage de l honneur de la liberte et de la bravoure,salue courage peuple ukrainien resiste sou feu armes nom francais adresse president zelensky soutien fraternel france aujourd hui visage honneur liberte bravoure,economy
1848,ensemble nous allons rendre a notre peuple la france qu il aime marinepresidente reims,ensemble allons rendre a peuple france aime marinepresidente reims,education
1849,pour des conditions de travail et de vie a la hauteur de l engagement de nos forces de l ordre,condition travail vie a hauteur engagement force ordre,environment
1850,pendant des decennies les memoires de la guerre d algerie sont restees cloisonnees clivees divisees ce que nous avons fait ensemble c est un parcours de reconnaissance,pendant decennies memoires guerre algerie restees cloisonnees clivees divisees fait ensemble parcours reconnaissance,economy
1851,dereglement climatique fleaux sanitaires guerres plus que jamais a travers le monde les defis humanitaires nous obligent nous avons voulu faire du premier forum humanitaire europeen un temps fort de la presidence francaise du conseil de l union europeenne,dereglement climatique fleaux sanitaires guerres plus jamais a travers monde defis humanitaires obligent voulu faire premier forum humanitaire europeen temp fort presidence francaise conseil union europeenne,economy
1852,face a l urgence climatique nous devons poursuivre nos efforts et accelerer tous ensemble avec nos partenaires du conseil europeen nous proposons une ambition nouvelle reduire d au moins 55 nos emissions de co2 d ici dix ans allons y,face a urgence climatique devon poursuivre effort accelerer tous ensemble partenaires conseil europeen proposons ambition nouvelle reduire moins 55 emission co2 ici dix an allons,environment
1853,c est a vous tous francais de toutes origines de toutes generations de toutes convictions de toutes religions et de toutes regions a vous tous francais si chers a mon coeur d ou que vous soyez que je lance un appel dimanchejevotemarine marinepresidente,a tous francais toutes origines toutes generation toutes conviction toutes religion toutes region a tous francais si chers a coeur lance appel dimanchejevotemarine marinepresidente,environment
1854,elue presidente j instaurerai l expulsion systematique des clandestins et le controle de nos frontieres nationales marinepresidente debatmacronlepen 2022ledebat,elue presidente instaurerai expulsion systematique clandestins controle frontieres nationales marinepresidente debatmacronlepen 2022ledebat,
1855,depuis septembre dernier je veux reduire la tva sur les carburants de 20 a 5 5 car je considere que c est un bien de premiere necessite l envolee des prix est en train de ruiner des millions d entre vous tout en remplissant les caisses de l etat marinepresidente,depuis septembre dernier veux reduire tva carburants 20 a 5 5 car considere bien premiere necessite envolee prix train ruiner million entre tout remplissant caisses etat marinepresidente,economy
1856,rt tous mobilises pour nerienlaisserpasser 3919,rt tous mobilises nerienlaisserpasser 3919,
1857,le manque de moyens et de personnel dans les hopitaux fait que beaucoup de soignants manquent de temps pour s occuper de leurs patients ils ressentent une grande culpabilite qui rend leurs conditions de travail tres difficiles elue presidente je ne les oublierai pas,manque moyens personnel hopitaux fait beaucoup soignants manquent temp occuper leurs patient ressentent grande culpabilite rend leurs condition travail tres difficiles elue presidente oublierai,health
1858,je reprendrai le controle de la production electrique francaise nous sortirons du marche europeen pour garantir aussitot un prix stable et bon marche a toute l industrie francaise france2027,reprendrai controle production electrique francaise sortirons marche europeen garantir aussitot prix stable bon marche a toute industrie francaise france2027,economy
1859,a partir du moment ou des civils desarmes sont assassines ce sont a l evidence des crimes de guerre et j ai demande une enquete de l onu sur boutcha et marioupol ceux qui sont responsables de cela doivent etre ecartes du concert des nations les4v,a partir moment civils desarmes assassines a evidence crime guerre demande enquete onu boutcha marioupol ceux responsables cela doivent etre ecarte concert nation les4v,health
1860,je veux arreter les chantiers d eoliennes en mer qui sont une horreur pour les pecheurs et qui detruisent nos paysages,veux arreter chantiers eoliennes mer horreur pecheurs detruisent paysages,education
1861,mes pensees vont aux victimes des intemperies qui touchent durement l allemagne la belgique le luxembourg et les pays bas la france est solidaire dans cette epreuve notre soutien est deja deploye en belgique il le sera partout ou il sera utile,pensees vont victimes intemperies touchent durement allemagne belgique luxembourg pay ba france solidaire cette epreuve soutien deja deploye belgique partout utile,economy
1862,je baisserai la tva de 20 de 5 5 sur l essence et le gasoil pour diminuer immediatement les prix a la pompe il y a urgence pour nos compatriotes,baisserai tva 20 5 5 essence gasoil diminuer immediatement prix a pompe a urgence compatriotes,economy
1863,merci a tous pour nos echanges toujours enrichissants c est pour vous grace a vous que j ai elabore mon projet agriculteurs de france tenez bon j arrive sia2022 marinepresidente,merci a tous echanges toujours enrichissants grace a elabore projet agriculteurs france tenez bon arrive sia2022 marinepresidente,
1864,l allemagne nous a rendus dependant au gaz russe en faisant le choix stupide du gaz et du charbon plutot que du nucleaire je vais restituer a la france sa souverainete energetique en sortant du marche europeen de l electricite dimanchejevotemarine,allemagne a rendus dependant gaz russe faisant choix stupide gaz charbon plutot nucleaire vais restituer a france souverainete energetique sortant marche europeen electricite dimanchejevotemarine,economy
1865,vous avez rendu cette campagne de premier tour si agreable et si dynamique merci a tous marinepresidente dimanchejevotemarine,rendu cette campagne premier tour si agreable si dynamique merci a tous marinepresidente dimanchejevotemarine,environment
1866,des forces de l ordre exemplaires ceux qui font appliquer la loi doivent respecter la loi je n accepterai jamais que la violence gratuite de quelques uns entache le professionnalisme de femmes et d hommes qui au quotidien assurent notre protection avec courage,force ordre exemplaires ceux font appliquer loi doivent respecter loi accepterai jamais violence gratuite quelques un entache professionnalisme femmes hommes quotidien assurent protection courage,education
1867,bienvenue en france cher mais je crois que vous la connaissez deja tres bien comme tous les slovenes qui ont suivi l epopee de leurs grands champions et durant le tour,bienvenue france cher crois connaissez deja tres bien comme tous slovene suivi epopee leurs grand champion durant tour,education
1868,pour voter dimanche pas besoin de votre carte electorale votre carte d identite ou votre passeport suffisent je compte sur vous dimanchejevotemarine,voter dimanche besoin carte electorale carte identite passeport suffisent compte dimanchejevotemarine,environment
1869,vive la republique et vive la france,vive republique vive france,economy
1870,l insecurite n est pas une fatalite tolerance zero arret de l immigration reconquete des zones de non droit majorite penale a 16 ans j agirai avec des mesures fermes pour que l espace public ne soit plus un espace de crainte marinepresidente elysee2022,insecurite fatalite tolerance zero arret immigration reconquete zone non droit majorite penale a 16 an agirai mesures fermes espace public plus espace crainte marinepresidente elysee2022,economy
1871,fermeture des mosquees radicales et expulsion des fiches s etrangers la guerre doit etre menee contre l islamisme,fermeture mosquees radicales expulsion fiches etrangers guerre doit etre menee contre islamisme,health
1872,la france est solidaire de l ukraine elle se tient aux cotes des ukrainiens et agit avec ses partenaires et allies pour que cesse la guerre,france solidaire ukraine tient cote ukrainiens agit partenaires ally cesse guerre,economy
1873,apres a 19h45 et le jt de 20h de je serai aujourd hui a 21h l invitee de demandezleprogramme,apres a 19h45 jt 20h aujourd hui a 21h invitee demandezleprogramme,
1874,emmanuel macron doit rectifier son propos tout le monde est contre l auto defense mais le president ne peut pas s opposer a la legitime defense qui est parfaitement legale ce propos est grave,emmanuel macron doit rectifier propos tout monde contre auto defense president peut opposer a legitime defense parfaitement legale propos grave,economy
1875,j appelle a mes voeux tous les jeunes de france a se mobiliser pour ces derniers jours de campagne je vous exhorte a parler a vos freres a vos soeurs a vos parents a vos amis a vos petits amis a vos cousins et a tous vos proches pour les convaincre d aller voter,appelle a voeux tous jeunes france a mobiliser derniers jours campagne exhorte a parler a freres a soeurs a parent a amis a petits amis a cousin a tous proches convaincre aller voter,education
1876,avec la montee des eaux les decharges littorales menacent de liberer leurs dechets en mer face a ce risque nous avons identifie 50 sites francais pour lesquels nous nous engageons a trouver des solutions d ici 10 ans en 2022 nous traiterons les 3 plus critiques agissons,montee eaux decharges littorales menacent liberer leurs dechets mer face a risque identifie 50 site francais lesquels engageons a trouver solution ici 10 an 2022 traiterons 3 plus critique agissons,
1877,ma responsabilite est de proteger les francais j y consacre toute mon energie depuis le 1er jour la mobilisation de l ensemble des acteurs de l etat est totale,responsabilite proteger francais consacre toute energie depuis 1er jour mobilisation ensemble acteurs etat totale,environment
1878,etre policier c est un engagement merci a vous,etre policier engagement merci a,economy
1879,les commercants itinerants font partie des premieres victimes de l explosion des prix du carburant elue presidente je baisserai la tva sur les carburants a 5 5 et je supprimerai les hausses de taxe decidees par emmanuel macron en 2017 et 2018 marinepresidente,commercants itinerant font partie premiere victimes explosion prix carburant elue presidente baisserai tva carburants a 5 5 supprimerai hausses taxe decidees emmanuel macron 2017 2018 marinepresidente,economy
1880,l espace est la cle de toutes nos souverainetes sans maitrise de l espace pas de souverainete technologique industrielle strategique pas de connaissance fine des grands enjeux environnementaux et climatiques l espace est donc une priorite pour notre europe,espace cle toutes souverainetes sans maitrise espace souverainete technologique industrielle strategique connaissance fine grand enjeux environnementaux climatiques espace donc priorite europe,environment
1881,objectif arriver en tete ici en guadeloupe au premier comme au second tour,objectif arriver tete ici guadeloupe premier comme second tour,education
1882,emmanuel macron a brade les fleurons qui faisaient de nous une grande nation industrielle technip lafarge alcatel et le plus emblematique de ces depecages c est alstom dans un pacte de trahison dont on ne parle qu a mi voix dans les milieux autorises marinepresidente,emmanuel macron a brade fleurons faisaient grande nation industrielle technip lafarge alcatel plus emblematique depecages alstom pacte trahison dont parle a mi voix milieu autorises marinepresidente,
1883,apres le jt de vers 20h45 je serai l invitee de et repondrai a vos questions sur la chaine twitch de france tv,apres jt vers 20h45 invitee repondrai a question chaine twitch france tv,education
1884,benvenuto in francia presidente mattarella l italie et la france sont unies par des liens d amitie de fraternite renforces chaque jour par les echanges entre nos citoyens pour nos jeunes autour des valeurs qui nous lient nous allons creer un service civique franco italien,benvenuto in francia presidente mattarella italie france unies lien amitie fraternite renforces chaque jour echanges entre citoyens jeunes autour valeurs lient allons creer service civique franco italien,economy' 'education
1885,emmanuel macron est il au courant que dans une democratie un elu sortant est tenu de rendre compte de son bilan marinepresidente,emmanuel macron courant democratie elu sortant tenu rendre compte bilan marinepresidente,economy
1886,a la memoire des victimes de l holocauste,a memoire victimes holocauste,health
1887,avec vous pour vous pour nous tous,tous,
1888,elue presidente je ferai de la lutte contre les violences conjugales une priorite penale journeedesdroitsdesfemmes,elue presidente ferai lutte contre violence conjugales priorite penale journeedesdroitsdesfemmes,
1889,j incite les entreprises a augmenter les salaires de 10 en gelant le surcroit de cotisations patronales les salaires sont trop bas en france on doit avoir une vision vivante de l economie a la place d une vision comptable faite d austerite questionspol,incite entreprises a augmenter salaires 10 gelant surcroit cotisations patronales salaires trop ba france doit avoir vision vivante economie a place vision comptable faite austerite questionspol,economy
1890,rt en avril prochain les francais vont dire non a macron enfin sanslui https,rt avril prochain francais vont dire non a macron enfin sanslui ,economy
1891,la priorite au terrain c est liberer l initiative des acteurs de proximite notamment des prefets plus de moyens plus de souplesse sur la prise de decisions la possibilite de deroger a la norme en fonction des specificites locales nous allons poursuivre ce mouvement,priorite terrain liberer initiative acteurs proximite notamment prefets plus moyens plus souplesse prise decision possibilite deroger a norme fonction specificites locale allons poursuivre mouvement,education
1892,je souhaite que l agriculture francaise soit privilegiee dans la commande publique notamment pour les cantines de nos enfants dans les ehpad et les hopitaux publics grandoagri,souhaite agriculture francaise privilegiee commande publique notamment cantines enfants ehpad hopitaux public grandoagri,health
1893,il nous faut adapter notre droit pour mieux proteger les enfants victimes d inceste et de violences sexuelles c est un sujet complexe j ai demande a dupondm et a de mener une consultation qui devra deboucher rapidement sur des propositions,faut adapter droit mieux proteger enfants victimes inceste violence sexuelles sujet complexe demande a dupondm a mener consultation devra deboucher rapidement proposition,health
1894,pour retablir la securite bien sur il faut de la prevention mais il faut surtout de la fermete marinepresidente debatmacronlepen 2022ledebat,retablir securite bien faut prevention faut surtout fermete marinepresidente debatmacronlepen 2022ledebat,economy
1895,les taxis travaillent aujourd hui a perte car avec un prix des carburants autour de 2eur du litre travailler n est plus rentable les artisans taxis aujourd hui ne se remunerent plus car leur tresorerie ne leur permet pas ils n arrivent plus a vivre de leur metier,taxi travaillent aujourd hui a perte car prix carburants autour 2eur litre travailler plus rentable artisan taxi aujourd hui remunerent plus car tresorerie permet arrivent plus a vivre metier,education
1896,au mozambique plus de 50 personnes ont ete decapitees des femmes kidnappees des villages pilles puis incendies des barbares detournent une religion de paix pour semer la terreur le terrorisme islamiste est une menace internationale qui appelle une reponse internationale,mozambique plus 50 personnes ete decapitees femmes kidnappees village pilles puis incendies barbares detournent religion paix semer terreur terrorisme islamiste menace internationale appelle reponse internationale,education
1897,rt off marine le pen sera en meeting a bouchain dans le nord ce vendredi a partir de 18h30 marinepresidente pour s,rt off marine pen meeting a bouchain nord vendredi a partir 18h30 marinepresidente,health
1898,rt off quel accueil pour marine en guadeloupe,rt off quel accueil marine guadeloupe,health
1899,je combattrai le harcelement de rue qui fait des femmes le gibier d un jeu pervers et humiliant journeedesdroitsdesfemmes,combattrai harcelement rue fait femmes gibier jeu pervers humiliant journeedesdroitsdesfemmes,health
1900,france2030 objectif 9 prendre toute notre part a la nouvelle aventure spatiale,france2030 objectif 9 prendre toute part a nouvelle aventure spatiale,environment
1901,50 de nos emissions de gaz a effet de serre sont liees aux importations pour diminuer ce chiffre je menerai une politique de relocalisation industrielle je developperai le localisme et les circuits courts dimanchejevotemarine,50 emission gaz a effet serre liees importation diminuer chiffre menerai politique relocalisation industrielle developperai localisme circuit court dimanchejevotemarine,environment
1902,expulser les 25 de detenus etrangers c est vous rendre votre securite mais aussi votre argent,expulser 25 detenus etrangers rendre securite aussi argent,economy
1903,artisane inlassable du centre combattante passionnee de l europe marielle de sarnez nous a quittes ce soir la france perd une responsable politique de grand talent nous perdons une amie pensees a sa famille et a ses compagnons de route,artisane inlassable centre combattante passionnee europe marielle sarnez a quittes soir france perd responsable politique grand talent perdons amie pensees a famille a compagnons route,
1904,peuple de france leve toi dimanche si le peuple vote le peuple gagne suivez en direct mon dernier discours de la campagne a arras marinepresidente dimanchejevotemarine,peuple france leve dimanche si peuple vote peuple gagne suivez direct dernier discours campagne a arras marinepresidente dimanchejevotemarine,economy
1905,elue presidente de la republique je permettrai aux personnes qui ont commence a travailler avant 21 ans de partir a la retraite des 60 ans missionconvaincrelci marinepresidente,elue presidente republique permettrai personnes commence a travailler avant 21 an partir a retraite 60 an missionconvaincrelci marinepresidente,health
1906,rt quand le gouvernement fait quelque chose de bien il faut le dire aussi au lieu de 854eur je n ai pas de taxe d habita,rt quand gouvernement fait quelque chose bien faut dire aussi lieu 854eur taxe habita,
1907,les francais attendent du serieux et de l efficacite de leur futur gouvernement,francais attendent serieux efficacite futur gouvernement,economy
1908,je veux rendre leur argent a tous les francais avec comme priorite les classes modestes mais aussi les classes moyennes trop riches pour etre pauvres et trop pauvres pour etre riches qui ne beneficient jamais des dispositifs mis en oeuvre dimpol,veux rendre argent a tous francais comme priorite class modestes aussi class moyennes trop rich etre pauvres trop pauvres etre rich beneficient jamais dispositifs mi oeuvre dimpol,economy
1909,rt off au lendemain de la convention presidentielle de marine le pen a reims officiel et bardella reunissent les refer,rt off lendemain convention presidentielle marine pen a reims officiel bardella reunissent refer,health
1910,napoleon bonaparte est une part de nous,napoleon bonaparte part,economy
1911,la georgie et la moldavie sont des pays voisins de notre union elles sont nos partenaires et amies a leurs presidentes j ai reaffirme ce matin notre determination a les soutenir contre toute tentative de tensions et de destabilisation solidaires dans la crise nous le serons,georgie moldavie pay voisins union elles partenaires amies a leurs presidentes reaffirme matin determination a soutenir contre toute tentative tension destabilisation solidaires crise,health
1912,retrouvez moi ce vendredi a 18h30 en meeting a vallauris dans les alpes maritimes inscrivez vous des maintenant,retrouvez vendredi a 18h30 meeting a vallauris alpes maritimes inscrivez maintenant,
1913,je compte rendre la parole au peuple je compte vous rendre la parole et ca sera une nouveaute par rapport a ces dernieres annees je compte meme ecouter la parole du peuple marinepresidente,compte rendre parole peuple compte rendre parole ca nouveaute rapport a dernieres annees compte meme ecouter parole peuple marinepresidente,economy
1914,je suis particulierement heureuse de venir echanger avec vous nous avons beaucoup de choses en commun et surtout nous partageons ensemble de tres grands projets pour la france france2027,particulierement heureuse venir echanger beaucoup choses commun surtout partageons ensemble tres grand projets france france2027,education
1915,la nation doit une reponse a ceux qui ont ete le plus touches par la crise a notre jeunesse qui a tant sacrifie alors qu elle risquait peu pour elle meme a nos aines qui plus que les autres ont craint pour leur vie,nation doit reponse a ceux ete plus touch crise a jeunesse a tant sacrifie alors risquait peu meme a aines plus autres craint vie,education' 'health
1916,nous ne relacherons pas nos efforts et tendons la main a tous ceux entreprises associations societe civile qui veulent agir lundi je reunirai a nouveau la citoyenne pour faire un point d etape sur la loiclimat en preparation,relacherons effort tendon main a tous ceux entreprises association societe civile veulent agir lundi reunirai a nouveau citoyenne faire point etape loiclimat preparation,health
1917,tous ensemble faisons des annees qui viennent celles d une police et d une justice efficaces d un etat qui protege et qui libere de l autorite republicaine vive la police nationale vive la gendarmerie nationale vive la republique et vive la france,tous ensemble faisons annees viennent celles police justice efficaces etat protege libere autorite republicaine vive police nationale vive gendarmerie nationale vive republique vive france,education
1918,je suis une femme totalement libre et parce que je suis une patriote je defends la france et les francais comme je l ai fait toute ma vie marinepresidente debatmacronlepen 2022ledebat,femme totalement libre parce patriote defends france francais comme fait toute vie marinepresidente debatmacronlepen 2022ledebat,education
1919,j inscrirai la lutte contre le communautarisme dans la constitution unjourunlivret,inscrirai lutte contre communautarisme constitution unjourunlivret,environment
1920,notre projet presidentiel je l ai voulu serieux et personne ne vient plus dire qu il ne l est pas je l ai voulu chiffre et il l est de maniere rigoureuse tous constatent combien il est solide juridiquement irreprochable immediatement applicable marinepresidente,projet presidentiel voulu serieux personne vient plus dire voulu chiffre maniere rigoureuse tous constatent combien solide juridiquement irreprochable immediatement applicable marinepresidente,health
1921,retrouvez l ensemble de mes propositions pour ameliorer le quotidien de nos compatriotes en situation de handicap marinepresidente debatmacronlepen 2022ledebat,retrouvez ensemble proposition ameliorer quotidien compatriotes situation handicap marinepresidente debatmacronlepen 2022ledebat,
1922,je vais tout faire pour que les cinq prochaines annees soient sans lui et avec moi elysee2022 sanslui,vais tout faire cinq prochaines annees sans elysee2022 sanslui,economy
1923,je veux supprimer la tva sur un panier de cent produits de premiere necessite d hygiene et alimentaires tant que l inflation est superieure d 1 point a la croissance 2022ledebat marinepresidente debatmacronlepen,veux supprimer tva panier cent produits premiere necessite hygiene alimentaires tant inflation superieure 1 point a croissance 2022ledebat marinepresidente debatmacronlepen,economy
1924,parallelement a cette invasion par le haut de la culture anglo saxonne la france subit la submersion de cultures importees en bloc sur son territoire villerscotterets,parallelement a cette invasion haut culture anglo saxonne france subit submersion culture importee bloc territoire villerscotterets,education
1925,a tous nos agriculteurs transporteurs transformateurs distributeurs aux familles de rungis a toute la ferme france vous nous avez permis de tenir en ce 1er mai nous vous celebrons vous faites la franceunie,a tous agriculteurs transporteurs transformateurs distributeurs familles rungis a toute ferme france permis tenir 1er mai celebrons faites franceunie,education
1926,la vaccination sauve des vies le virus tue,vaccination sauve vies virus tue,health
1927,je suis fiere de defendre nos routiers qui sont completement abandonnes par ceux qui nous gouvernent alors qu ils sont un secteur essentiel s ils n etaient pas la comment ferions nous,fiere defendre routiers completement abandonnes ceux gouvernent alors secteur essentiel etaient comment ferions,health
1928,comme je le repete depuis des annees les tpe pme sont ma priorite dans mon projet de reconstruction economique de la france l economie de proximite est la priorite france,comme repete depuis annees tpe pme priorite projet reconstruction economique france economie proximite priorite france,economy
1929,rt 4 bonnes raisons de l installer,rt 4 bonnes raisons installer,environment
1930,je permettrai l ouverture au public de tous les monuments historiques les francais doivent pouvoir s approprier leur patrimoine unique et en nourrir leur ame unjourunlivret,permettrai ouverture public tous monument historiques francais doivent pouvoir approprier patrimoine unique nourrir ame unjourunlivret,economy
1931,elue presidente de la republique j axerai la diplomatie de la france sur trois principes l independance l equidistance et la constance missionconvaincrelci marinepresidente,elue presidente republique axerai diplomatie france trois principe independance equidistance constance missionconvaincrelci marinepresidente,economy
1932,ce nouveau sommet afrique france s acheve mais il n est qu un debut voici mon message a vous les acteurs du changement,nouveau sommet afrique france acheve debut voici message a acteurs changement,economy
1933,cela fait 8 mois que je vais a la rencontre des francais dans toute la france parler de leurs problemes les ecouter affiner mon projet septahuit,cela fait 8 mois vais a rencontre francais toute france parler leurs problemes ecouter affiner projet septahuit,economy
1934,nous voulons une police et une justice qui vous protegent des voyous des delinquants en capuche ou de ceux en col blanc des predateurs d en bas comme des predateurs d en haut marinepresidente,voulons police justice protegent voyous delinquants capuche ceux col blanc predateurs ba comme predateurs haut marinepresidente,education
1935,a tous les jeunes qui cherchent un emploi une formation un contrat d apprentissage un contrat de professionnalisation ou simplement des conseils nous avons cree pour vous,a tous jeunes cherchent emploi formation contrat apprentissage contrat professionnalisation simplement conseils cree,education
1936,et je saurai me montrer digne de leur confiance,saurai montrer digne confiance,education
1937,la france est heritiere de toutes ces composantes chretiente humanisme lumieres et le role de la france dans le concert des nations en decoule,france heritiere toutes composantes chretiente humanisme lumieres role france concert nation decoule,education
1938,il aura fallu dix annees mais nous y sommes arrives un accord a ete trouve sous presidence francaise du conseil de l union europeenne pour une representation equilibree des femmes et des hommes dans les conseils d administration c est un grand pas en avant pour l egalite,fallu dix annees arrives accord a ete trouve sou presidence francaise conseil union europeenne representation equilibree femmes hommes conseils administration grand avant egalite,education
1939,je lance un appel aux maires si vous ne m aidez pas des millions d electeurs seront prives d election ne laissez pas se produire un scandale democratique majeur parrainages,lance appel maires si aidez million electeurs prives election laissez produire scandale democratique majeur parrainages,economy
1940,j ai demande immediatement une enquete de l onu sur les images epouvantables de boutcha dimanchejevotemarine,demande immediatement enquete onu image epouvantables boutcha dimanchejevotemarine,economy
1941,cette periode est une opportunite pour changer les choses ensemble pour l ecologie mais aussi pour nos emplois et nos territoires chacun peut agir en privilegiant les produits de nos agriculteurs la proximite des maintenant worldenvironmentday,cette periode opportunite changer choses ensemble ecologie aussi emplois territoires chacun peut agir privilegiant produits agriculteurs proximite maintenant worldenvironmentday,environment
1942,le progressisme d emmanuel macron ne signifie pas progres mais deconstruction il est l avatar du wokisme du decolonialisme il est le contraire de l unite nationale marinepresidente,progressisme emmanuel macron signifie progres deconstruction avatar wokisme decolonialisme contraire unite nationale marinepresidente,education
1943,bienvenue au scribe accroupi chef d oeuvre iconique des collections du louvre qui s installe aujourd hui au louvre lens pour les dix ans du musee ses premiers visiteurs sont des eleves du college curie de lievin partageons la culture,bienvenue scribe accroupi chef oeuvre iconique collection louvre installe aujourd hui louvre lens dix an musee premier visiteurs eleves college curie lievin partageons culture,education
1944,rt off aux fils et filles de france marinepresidente,rt off fils fille france marinepresidente,education
1945,l europe entiere nous regarde et nous attend une victoire des idees patriotes en france provoquerait un espoir de changement sur tout le continent marinepresidente,europe entiere regarde attend victoire idees patriotes france provoquerait espoir changement tout continent marinepresidente,economy
1946,je suis hostile au port du voile partout je considere que c est un uniforme islamiste que c est un acte de soumission des femmes je veux eradiquer l ideologie islamiste dans notre pays partout ou elle s exprime elysee2022,hostile port voile partout considere uniforme islamiste acte soumission femmes veux eradiquer ideologie islamiste pay partout exprime elysee2022,education
1947,le baccalaureat doit redevenir un diplome reconnu et valorisant je mettrai fin a l objectif de maintenir un taux de reussite defini en amont par des bureaucrates parisiens au detriment de la valeur du diplome unjourunlivret,baccalaureat doit redevenir diplome reconnu valorisant mettrai fin a objectif maintenir taux reussite defini amont bureaucrates parisiens detriment valeur diplome unjourunlivret,economy
1948,sur les places de nos villages a l arc de triomphe nous ne cessons de les honorer depuis un siecle au pantheon aussi desormais et a travers les oeuvres d anselm kiefer et de pascal dusapin maurice genevoix et ceux de 14 sont la pour toujours,place village a arc triomphe cessons honorer depuis siecle pantheon aussi desormais a travers oeuvre anselm kiefer pascal dusapin maurice genevoix ceux 14 toujours,education
1949,ce soir j ai demande au president loukachenko le retrait des troupes russes de son sol la fraternite entre les peuples bielorusses et ukrainiens devrait conduire la bielorussie a refuser d etre le vassal et le complice de fait de la russie dans la guerre contre l ukraine,soir demande president loukachenko retrait troupe rus sol fraternite entre peuples bielorusses ukrainiens devrait conduire bielorussie a refuser etre vassal complice fait russie guerre contre ukraine,economy
1950,le programme de nouveaux reacteurs nucleaires est la et il commence aujourd hui,programme nouveaux reacteurs nucleaires commence aujourd hui,economy
1951,aucun quartier n est en dehors de la republique nous redoublons nos efforts la ou la delinquance s est installee 62 quartiers de reconquete republicaine ont ete crees 58 sont deja en place avec des moyens massifs et l essentiel des renforts en securite publique,aucun quartier dehors republique redoublons effort delinquance installee 62 quartiers reconquete republicaine ete cree 58 deja place moyens massif essentiel renforts securite publique,
1952,lafrancedanslesyeux,lafrancedanslesyeux,economy
1953,rt en direct suivez la ceremonie du 14juillet,rt direct suivez ceremonie 14juillet,education
1954,je sortirai du marche europeen liberalise de l electricite pour retrouver le tarif francais de l electricite inferieur au tarif europeen,sortirai marche europeen liberalise electricite retrouver tarif francais electricite inferieur tarif europeen,
1955,avec la vaccination nous avons des caps une perspective,vaccination cap perspective,health
1956,quel plaisir de faire campagne dans notre si beau pays,quel plaisir faire campagne si beau pay,economy
1957,je suis opposee a l autonomie de la corse et au contexte d emeutes d attaques de policiers et de degradations dans lequel on fait ce debat je le79inter,opposee a autonomie corse contexte emeutes attaques policiers degradation lequel fait debat le79inter,
1958,dans le referendum que je propose sur l arret de l immigration il y a la suppression du droit du sol l impossibilite d acquerir automatiquement la nationalite la restriction du regroupement familial j offre aux francais la liberte de decider missionconvaincrelci,referendum propose arret immigration a suppression droit sol impossibilite acquerir automatiquement nationalite restriction regroupement familial offre francais liberte decider missionconvaincrelci,
1959,je supprimerai le droit du sol etre francais s heritera ou se meritera unjourunlivret,supprimerai droit sol etre francais heritera meritera unjourunlivret,economy
1960,declaration apres l attaque terroriste de nice,declaration apres attaque terroriste nice,economy
1961,je proposerai par referendum aux francais d expulser les delinquants et criminels etrangers de supprimer l acquisition automatique de la nationalite et de retrouver la maitrise de nos frontieres 19h45 marinepresidente,proposerai referendum francais expulser delinquants criminels etrangers supprimer acquisition automatique nationalite retrouver maitrise frontieres 19h45 marinepresidente,education
1962,la bnf est l un des epicentres de notre histoire de nos imaginaires de nos savoirs et de la construction de notre avenir,bnf epicentre histoire imaginaires savoirs construction avenir,education
1963,pour que le travail permette de vivre dignement et paie toujours davantage que l inactivite nous reformons l assurance chomage depuis un mois les regles ont commence a changer pour rendre la reprise du travail plus attractive dans tous les cas,travail permette vivre dignement paie toujours davantage inactivite reformons assurance chomage depuis mois regles commence a changer rendre reprise travail plus attractive tous ca,environment
1964,j 10 avant le premier tour de la presidentielle2022 je defendrai les droits des francais en situation de handicap,10 avant premier tour presidentielle2022 defendrai droits francais situation handicap,education
1965,allons enfants de la patrie le jour de gloire va arriver,allons enfants patrie jour gloire va arriver,education
1966,l autonomie et l independance de la france necessitent de ne pas etre dans le commandement integre de l otan comme l avait decide le general de gaulle missionconvaincrelci marinepresidente,autonomie independance france necessitent etre commandement integre otan comme decide general gaulle missionconvaincrelci marinepresidente,education
1967,110 000 offres d emploi sont a pourvoir dans le secteur de la restauration partout en france ce sont des metiers d excellence c est une grande famille qui donne a chacun sa chance d evoluer et de gravir les echelons c est une fierte francaise,110 000 offres emploi a pourvoir secteur restauration partout france metier excellence grande famille donne a chacun chance evoluer gravir echelon fierte francaise,
1968,soyons fiers des hauts de france ce territoire a tout pour reussir elus locaux acteurs publics et prives ensemble continuons a avancer,fiers hauts france territoire a tout reussir elus locaux acteurs public prives ensemble continuons a avancer,economy
1969,la france2030 se construit ici dans la loire,france2030 construit ici loire,education
1970,merci infiniment a l ensemble de nos soignants on sera la on continuera a prendre les decisions comme on l a fait depuis le debut pragmatiques proportionnees territorialisees necessaires pour proteger nos plus vulnerables et proteger nos soignants,merci infiniment a ensemble soignants continuera a prendre decision comme a fait depuis debut pragmatiques proportionnees territorialisees necessaires proteger plus vulnerables proteger soignants,health
